"filename", "language", "HTML", "Markdown", "JavaScript", "PowerShell", "CSS", "Shell Script", "JSON", "Batch", "YAML", "Docker", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\Advenro\Advenro\test\unit\middleware\error.simple.test.js", "JavaScript", 0, 0, -180, 0, 0, 0, 0, 0, 0, 0, 0, -43, -50, -273
"d:\Projects\Advenro\Advenro\test\unit\middleware\userValidation.test.js", "JavaScript", 0, 0, -152, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, -191
"d:\Projects\Advenro\Advenro\test\unit\middleware\validation.test.js", "JavaScript", 0, 0, -160, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38, -198
"d:\Projects\Advenro\Advenro\test\unit\middleware\validator.test.js", "JavaScript", 0, 0, -170, 0, 0, 0, 0, 0, 0, 0, 0, 0, -43, -213
"d:\Projects\Advenro\Advenro\test\unit\models\booking.simple.test.js", "JavaScript", 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, 0, -23, -27, -122
"d:\Projects\Advenro\Advenro\test\unit\models\destination.simple.test.js", "JavaScript", 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, -6, -17, -108
"d:\Projects\Advenro\Advenro\test\unit\models\hotel.simple.test.js", "JavaScript", 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, -7, -9, -67
"d:\Projects\Advenro\Advenro\test\unit\models\hotel.test.js", "JavaScript", 0, 0, -141, 0, 0, 0, 0, 0, 0, 0, 0, -12, -25, -178
"d:\Projects\Advenro\Advenro\test\unit\models\review.simple.test.js", "JavaScript", 0, 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15, -89
"d:\Projects\Advenro\Advenro\test\unit\models\user.simple.test.js", "JavaScript", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -5, -4, -25
"d:\Projects\Advenro\Advenro\test\unit\models\user.test.js", "JavaScript", 0, 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, -12, -22, -143
"d:\Projects\Advenro\Advenro\test\unit\routes\api.simple.test.js", "JavaScript", 0, 0, -219, 0, 0, 0, 0, 0, 0, 0, 0, -11, -53, -283
"d:\Projects\Advenro\Advenro\test\unit\routes\booking.simple.test.js", "JavaScript", 0, 0, -101, 0, 0, 0, 0, 0, 0, 0, 0, -22, -30, -153
"d:\Projects\Advenro\Advenro\test\unit\routes\destination.simple.test.js", "JavaScript", 0, 0, -287, 0, 0, 0, 0, 0, 0, 0, 0, -51, -64, -402
"d:\Projects\Advenro\Advenro\test\unit\routes\review.simple.test.js", "JavaScript", 0, 0, -347, 0, 0, 0, 0, 0, 0, 0, 0, -63, -88, -498
"d:\Projects\Advenro\Advenro\test\unit\services\activity.service.test.js", "JavaScript", 0, 0, -434, 0, 0, 0, 0, 0, 0, 0, 0, -35, -71, -540
"d:\Projects\Advenro\Advenro\test\unit\services\backup.service.test.js", "JavaScript", 0, 0, -211, 0, 0, 0, 0, 0, 0, 0, 0, -1, -41, -253
"d:\Projects\Advenro\Advenro\test\unit\services\cache.service.test.js", "JavaScript", 0, 0, -204, 0, 0, 0, 0, 0, 0, 0, 0, -1, -50, -255
"d:\Projects\Advenro\Advenro\test\unit\services\export.service.isolated.test.js", "JavaScript", 0, 0, -235, 0, 0, 0, 0, 0, 0, 0, 0, -1, -42, -278
"d:\Projects\Advenro\Advenro\test\unit\services\export.service.test.js", "JavaScript", 0, 0, -235, 0, 0, 0, 0, 0, 0, 0, 0, -2, -42, -279
"d:\Projects\Advenro\Advenro\test\unit\services\indexService.test.js", "JavaScript", 0, 0, -251, 0, 0, 0, 0, 0, 0, 0, 0, -63, -53, -367
"d:\Projects\Advenro\Advenro\test\unit\services\logging.service.test.js", "JavaScript", 0, 0, -174, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51, -226
"d:\Projects\Advenro\Advenro\test\unit\services\mailer.service.test.js", "JavaScript", 0, 0, -133, 0, 0, 0, 0, 0, 0, 0, 0, -2, -28, -163
"d:\Projects\Advenro\Advenro\test\unit\services\payment.service.test.js", "JavaScript", 0, 0, -109, 0, 0, 0, 0, 0, 0, 0, 0, -2, -22, -133
"d:\Projects\Advenro\Advenro\test\unit\services\run-isolated-tests.js", "JavaScript", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -16
"d:\Projects\Advenro\Advenro\test\unit\services\userProfile.service.test.js", "JavaScript", 0, 0, -312, 0, 0, 0, 0, 0, 0, 0, 0, -27, -68, -407
"d:\Projects\Advenro\Advenro\test\unit\services\websocket.service.test.js", "JavaScript", 0, 0, -155, 0, 0, 0, 0, 0, 0, 0, 0, -1, -40, -196
"d:\Projects\Advenro\Advenro\test\unit\user.model.test.js", "JavaScript", 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, -5, -16, -106
"d:\Projects\Advenro\Advenro\test\utils\auth-utils.js", "JavaScript", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -28, -8, -77
"d:\Projects\Advenro\Advenro\test\utils\db-cleaner.js", "JavaScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, -18, -10, -63
"d:\Projects\Advenro\Advenro\test\utils\db-utils.js", "JavaScript", 0, 0, -64, 0, 0, 0, 0, 0, 0, 0, 0, -18, -8, -90
"d:\Projects\Advenro\Advenro\test\utils\dbHelper.js", "JavaScript", 0, 0, -136, 0, 0, 0, 0, 0, 0, 0, 0, -44, -26, -206
"d:\Projects\Advenro\Advenro\test\utils\express-utils.js", "JavaScript", 0, 0, -64, 0, 0, 0, 0, 0, 0, 0, 0, -31, -20, -115
"d:\Projects\Advenro\Advenro\test\utils\request-utils.js", "JavaScript", 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, -80, -14, -127
"d:\Projects\Advenro\Advenro\test\utils\tokenHelper.js", "JavaScript", 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, 0, -26, -5, -73
"Total", "-", 167, -156, 7362, 0, 0, 0, 1, 0, 0, 0, 162, 3116, 1257, 11909
