Date : 2025-03-30 15:48:02
Directory : d:\Projects\Advenro\Advenro
Total : 466 files,  75866 codes, 10487 comments, 10345 blanks, all 96698 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Projects\Advenro\Advenro\deployment\README.md                                        | Markdown     |        128 |          0 |         42 |        170 |
| d:\Projects\Advenro\Advenro\deployment\ecosystem.config.js                              | JavaScript   |         17 |          0 |          0 |         17 |
| d:\Projects\Advenro\Advenro\deployment\package.json                                     | JSON         |         87 |          0 |          1 |         88 |
| d:\Projects\Advenro\Advenro\deployment\src\components\common\LoadingSpinner.css         | CSS          |         60 |          3 |         10 |         73 |
| d:\Projects\Advenro\Advenro\deployment\src\components\common\Toast.css                  | CSS          |          0 |          0 |          1 |          1 |
| d:\Projects\Advenro\Advenro\deployment\src\components\loading-spinner.html              | HTML         |        104 |          4 |         15 |        123 |
| d:\Projects\Advenro\Advenro\deployment\src\components\offline-support.html              | HTML         |        206 |          8 |         33 |        247 |
| d:\Projects\Advenro\Advenro\deployment\src\components\service-worker.js                 | JavaScript   |        127 |         17 |         18 |        162 |
| d:\Projects\Advenro\Advenro\deployment\src\components\toast-notifications.html          | HTML         |        125 |          4 |         22 |        151 |
| d:\Projects\Advenro\Advenro\deployment\src\config\database.js                           | JavaScript   |         17 |          1 |          4 |         22 |
| d:\Projects\Advenro\Advenro\deployment\src\config\index.js                              | JavaScript   |          7 |          0 |          2 |          9 |
| d:\Projects\Advenro\Advenro\deployment\src\config\redis.js                              | JavaScript   |         35 |          1 |          4 |         40 |
| d:\Projects\Advenro\Advenro\deployment\src\config\swagger.js                            | JavaScript   |        126 |          0 |          3 |        129 |
| d:\Projects\Advenro\Advenro\deployment\src\config\test.js                               | JavaScript   |         13 |          1 |          0 |         14 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\adminController.js               | JavaScript   |        408 |         41 |         53 |        502 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\auth.controller.js               | JavaScript   |        274 |         25 |         31 |        330 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\authController.js                | JavaScript   |        105 |         15 |         16 |        136 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\booking.controller.js            | JavaScript   |        171 |         22 |         46 |        239 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\bookingComController.js          | JavaScript   |        290 |         90 |         51 |        431 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\bookingController.js             | JavaScript   |        286 |         40 |         44 |        370 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\flightController.js              | JavaScript   |        176 |         23 |         19 |        218 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\hotel.controller.js              | JavaScript   |         93 |          7 |         12 |        112 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\hotelController.js               | JavaScript   |        139 |         24 |         16 |        179 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\reviewController.js              | JavaScript   |         91 |          8 |         19 |        118 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\tourController.js                | JavaScript   |        219 |         29 |         24 |        272 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\user.controller.js               | JavaScript   |        218 |         35 |         52 |        305 |
| d:\Projects\Advenro\Advenro\deployment\src\controllers\userController.js                | JavaScript   |        139 |         33 |         41 |        213 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\async.js                          | JavaScript   |          4 |          0 |          1 |          5 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\auth.js                           | JavaScript   |         40 |          6 |          6 |         52 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\cache.js                          | JavaScript   |         48 |         18 |         12 |         78 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\error.js                          | JavaScript   |         23 |          4 |          7 |         34 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\userValidation.js                 | JavaScript   |        116 |          3 |         24 |        143 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\validate.js                       | JavaScript   |        151 |          2 |          5 |        158 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\validation.js                     | JavaScript   |         41 |          0 |          5 |         46 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\validationMiddleware.js           | JavaScript   |        213 |          2 |         24 |        239 |
| d:\Projects\Advenro\Advenro\deployment\src\middleware\validator.js                      | JavaScript   |        224 |          5 |         10 |        239 |
| d:\Projects\Advenro\Advenro\deployment\src\models\AuditLog.js                           | JavaScript   |         38 |          1 |          3 |         42 |
| d:\Projects\Advenro\Advenro\deployment\src\models\Booking.js                            | JavaScript   |         75 |         40 |          6 |        121 |
| d:\Projects\Advenro\Advenro\deployment\src\models\ErrorLog.js                           | JavaScript   |         31 |          1 |          3 |         35 |
| d:\Projects\Advenro\Advenro\deployment\src\models\Flight.js                             | JavaScript   |         82 |         57 |          5 |        144 |
