"filename", "language", "JavaScript", "JSON", "Markdown", "PowerShell", "Docker", "Shell Script", "HTML", "CSS", "Batch", "YAML", "comment", "blank", "total"
"d:\Projects\Advenro\Advenro\test\unit\controllers\payment.controller.test.js", "JavaScript", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 89, 576
"d:\Projects\Advenro\Advenro\test\unit\controllers\restaurant.simple.test.js", "JavaScript", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 71, 395
"d:\Projects\Advenro\Advenro\test\unit\controllers\restaurant.test.js", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 51, 324
"d:\Projects\Advenro\Advenro\test\unit\controllers\review.test.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 25, 186
"d:\Projects\Advenro\Advenro\test\unit\controllers\search.controller.test.js", "JavaScript", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 70, 420
"d:\Projects\Advenro\Advenro\test\unit\controllers\settings.controller.test.js", "JavaScript", 485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 102, 680
"d:\Projects\Advenro\Advenro\test\unit\controllers\tour.test.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 99
"d:\Projects\Advenro\Advenro\test\unit\controllers\user.controller.test.js", "JavaScript", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76, 354
"d:\Projects\Advenro\Advenro\test\unit\controllers\user.simple.test.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 70
"d:\Projects\Advenro\Advenro\test\unit\controllers\user.test.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 130
"d:\Projects\Advenro\Advenro\test\unit\controllers\userProfile.controller.test.js", "JavaScript", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 88, 575
"d:\Projects\Advenro\Advenro\test\unit\middleware\admin.simple.test.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 66
"d:\Projects\Advenro\Advenro\test\unit\middleware\async.test.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 145
"d:\Projects\Advenro\Advenro\test\unit\middleware\auth.simple.test.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 85
"d:\Projects\Advenro\Advenro\test\unit\middleware\auth.test.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 27, 139
"d:\Projects\Advenro\Advenro\test\unit\middleware\cache.test.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 143
"d:\Projects\Advenro\Advenro\test\unit\middleware\error.simple.test.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 50, 273
"d:\Projects\Advenro\Advenro\test\unit\middleware\userValidation.test.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 191
"d:\Projects\Advenro\Advenro\test\unit\middleware\validation.test.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 198
"d:\Projects\Advenro\Advenro\test\unit\middleware\validator.test.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 213
"d:\Projects\Advenro\Advenro\test\unit\models\booking.simple.test.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 122
"d:\Projects\Advenro\Advenro\test\unit\models\destination.simple.test.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 108
"d:\Projects\Advenro\Advenro\test\unit\models\hotel.simple.test.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"d:\Projects\Advenro\Advenro\test\unit\models\hotel.test.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 178
"d:\Projects\Advenro\Advenro\test\unit\models\review.simple.test.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 89
"d:\Projects\Advenro\Advenro\test\unit\models\user.simple.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 25
"d:\Projects\Advenro\Advenro\test\unit\models\user.test.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 143
"d:\Projects\Advenro\Advenro\test\unit\routes\api.simple.test.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53, 283
"d:\Projects\Advenro\Advenro\test\unit\routes\booking.simple.test.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 153
"d:\Projects\Advenro\Advenro\test\unit\routes\destination.simple.test.js", "JavaScript", 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 64, 402
"d:\Projects\Advenro\Advenro\test\unit\routes\review.simple.test.js", "JavaScript", 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 88, 498
"d:\Projects\Advenro\Advenro\test\unit\services\activity.service.test.js", "JavaScript", 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 71, 540
"d:\Projects\Advenro\Advenro\test\unit\services\backup.service.test.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41, 253
"d:\Projects\Advenro\Advenro\test\unit\services\cache.service.test.js", "JavaScript", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50, 255
"d:\Projects\Advenro\Advenro\test\unit\services\export.service.isolated.test.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42, 278
"d:\Projects\Advenro\Advenro\test\unit\services\export.service.test.js", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42, 279
"d:\Projects\Advenro\Advenro\test\unit\services\indexService.test.js", "JavaScript", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 53, 367
"d:\Projects\Advenro\Advenro\test\unit\services\logging.service.test.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51, 226
"d:\Projects\Advenro\Advenro\test\unit\services\mailer.service.test.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 163
"d:\Projects\Advenro\Advenro\test\unit\services\payment.service.test.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 133
"d:\Projects\Advenro\Advenro\test\unit\services\run-isolated-tests.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"d:\Projects\Advenro\Advenro\test\unit\services\userProfile.service.test.js", "JavaScript", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 68, 407
"d:\Projects\Advenro\Advenro\test\unit\services\websocket.service.test.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 196
"d:\Projects\Advenro\Advenro\test\unit\user.model.test.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 106
"d:\Projects\Advenro\Advenro\test\utils\auth-utils.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 8, 77
"d:\Projects\Advenro\Advenro\test\utils\db-cleaner.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 63
"d:\Projects\Advenro\Advenro\test\utils\db-utils.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 90
"d:\Projects\Advenro\Advenro\test\utils\dbHelper.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 26, 206
"d:\Projects\Advenro\Advenro\test\utils\express-utils.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 115
"d:\Projects\Advenro\Advenro\test\utils\request-utils.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 14, 127
"d:\Projects\Advenro\Advenro\test\utils\tokenHelper.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 5, 73
"Total", "-", 54899, 14252, 2969, 177, 7, 55, 4763, 1139, 14, 22, 10823, 10801, 99921
